City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
105,Buala,SB,83.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
106,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
107,Kribi,CM,79.52,scattered clouds,2.95,9.9167,La Grace Hôtel
109,Kulhudhuffushi,MV,81.19,few clouds,6.6221,73.07,Haajy Guest House 1
110,Faanui,PF,79.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
121,Kanniyakumari,IN,75.2,scattered clouds,8.0833,77.5667,Sparsa
125,Soyo,AO,77.47,broken clouds,-6.1349,12.3689,Hotel Mpampa
128,Aloleng,PH,80.56,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
136,Morondava,MG,78.42,broken clouds,-20.2833,44.2833,La Case Bambou
137,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Oriximina,BR,78.6,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
140,Kerema,PG,83.59,overcast clouds,-7.9631,145.7785,Frena Lodge
143,Bengkulu,ID,76.82,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
145,Presidencia Roque Saenz Pena,AR,89.29,broken clouds,-26.7852,-60.4388,Hotel Aconcagua
150,Ambilobe,MG,76.28,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
173,La Romana,DO,78.53,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
179,Kendari,ID,85.8,overcast clouds,-3.945,122.4989,Hotel Wixel
188,Saint-Philippe,RE,77.49,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
191,Iquitos,PE,78.84,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
192,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
195,Sabya,SA,76.62,scattered clouds,17.1495,42.6254,Aseel Hotel Apartment
197,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
198,Mattru,SL,76.21,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
