City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Lasa,IT,46.6166,10.7002,38.28,54,7,7.09,clear sky
158,Cabra,ES,37.4725,-4.4421,50.4,74,100,5.35,overcast clouds
159,Kiruna,SE,67.8557,20.2251,0.52,92,40,2.3,scattered clouds
160,Mitu,CO,1.1983,-70.1733,73.44,99,86,2.53,overcast clouds
161,Fairbanks,US,64.8378,-147.7164,20.61,89,90,4.61,snow
162,Huilong,CN,31.8111,121.655,48.97,51,12,8.61,few clouds
163,Opuwo,NA,-18.0607,13.84,68.52,38,80,4.9,broken clouds
164,Roebourne,AU,-20.7833,117.1333,93.33,46,6,22.55,clear sky
165,Lubango,AO,-14.9172,13.4925,60.35,84,57,3.96,broken clouds
166,San Ramon,US,37.7799,-121.978,50.49,87,90,1.01,mist
167,Locri,IT,38.2414,16.2623,57.24,80,93,13.04,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,70.92,79,0,24.49,clear sky
169,Jinxiang,CN,27.4327,120.6062,51.71,59,83,3.62,broken clouds
170,Copiapo,CL,-27.3667,-70.3333,56.89,74,100,3.38,overcast clouds
171,Nikolskoye,RU,59.7035,30.7861,22.89,91,100,11.45,light snow
172,Pisco,PE,-13.7,-76.2167,67.01,88,0,8.05,clear sky
173,La Romana,DO,18.4273,-68.9728,78.53,94,75,4.61,broken clouds
174,Kurchum,KZ,48.5722,83.6542,19.33,92,100,3.91,snow
175,Hasaki,JP,35.7333,140.8333,46.29,45,0,8.75,clear sky
176,Bilma,NE,18.6853,12.9164,57.49,33,0,13.67,clear sky
177,Rong Kwang,TH,18.339,100.3174,66.56,76,6,2.04,clear sky
178,Tilichiki,RU,60.4667,166.1,-17.7,97,57,4.92,broken clouds
179,Kendari,ID,-3.945,122.4989,85.8,69,100,3.24,overcast clouds
180,Te Anau,NZ,-45.4167,167.7167,60.87,95,100,10.13,moderate rain
181,Palora,EC,-1.7,-77.9333,68.07,97,100,1.72,light rain
182,Rio Gallegos,AR,-51.6226,-69.2181,51.85,37,75,25.32,broken clouds
183,Pinawa,CA,50.1489,-95.8811,12.06,83,72,14.07,broken clouds
184,Hamilton,US,39.1834,-84.5333,36.23,78,90,3.44,overcast clouds
185,Pangnirtung,CA,66.1451,-65.7125,14.0,79,90,8.05,snow
186,Zamora,EC,-4.0692,-78.9567,69.28,99,100,3.36,light rain
187,Vredendal,ZA,-31.6683,18.5012,65.91,75,0,5.59,clear sky
188,Saint-Philippe,RE,-21.3585,55.7679,77.49,85,43,8.16,light rain
189,Bethel,US,41.3712,-73.414,30.18,68,1,3.0,clear sky
190,Strezhevoy,RU,60.7333,77.5889,-23.82,86,100,10.36,overcast clouds
191,Iquitos,PE,-3.7481,-73.2472,78.84,89,20,1.14,few clouds
192,Avarua,CK,-21.2078,-159.775,82.45,69,40,9.22,scattered clouds
193,Ban Mo,TH,14.6154,100.7273,68.43,64,26,7.63,scattered clouds
194,Kez,RU,57.8979,53.7152,7.68,97,100,4.68,overcast clouds
195,Sabya,SA,17.1495,42.6254,76.62,82,50,2.95,scattered clouds
196,Kamaishi,JP,39.2667,141.8833,29.35,52,24,10.54,few clouds
197,Carnarvon,AU,-24.8667,113.6333,82.47,51,0,14.97,clear sky
198,Mattru,SL,7.6244,-11.8332,76.21,89,40,2.66,scattered clouds
199,Barrow,US,71.2906,-156.7887,6.82,78,90,32.21,heavy snow
200,Lorengau,PG,-2.0226,147.2712,83.93,80,100,13.13,overcast clouds
201,Roald,NO,62.5833,6.1333,41.14,75,75,4.61,broken clouds
202,Golden,US,39.7555,-105.2211,49.14,19,75,1.99,broken clouds
203,Rio Grande,BR,-32.035,-52.0986,69.94,78,0,18.77,clear sky
204,Colquiri,BO,-17.4167,-67.1333,38.57,84,100,3.65,overcast clouds
205,Kodiak,US,57.79,-152.4072,32.99,82,44,5.97,scattered clouds
206,Vestmannaeyjar,IS,63.4427,-20.2734,45.41,86,100,6.49,overcast clouds
207,Srednekolymsk,RU,67.45,153.6833,-31.72,96,100,21.47,overcast clouds
208,Saint-Pierre,RE,-21.3393,55.4781,77.58,82,90,4.61,moderate rain
209,Jasper,US,37.2001,-94.3502,33.22,77,1,3.44,clear sky
210,Sabha,LY,27.0377,14.4283,44.71,46,0,7.14,clear sky
211,New Norfolk,AU,-42.7826,147.0587,67.5,81,100,15.82,overcast clouds
212,Bodden Town,KY,19.2833,-81.25,79.93,87,20,1.01,few clouds
213,Arraial Do Cabo,BR,-22.9661,-42.0278,73.0,78,62,11.36,broken clouds
214,Nador,MA,35.174,-2.9287,55.65,88,20,2.3,few clouds
215,Sambava,MG,-14.2667,50.1667,74.3,93,52,4.43,broken clouds
216,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,20,5.75,few clouds
217,Marsh Harbour,BS,26.5412,-77.0636,77.25,82,0,10.96,clear sky
218,Tiksi,RU,71.6872,128.8694,-14.17,99,100,5.14,overcast clouds
219,Payo,ID,-3.7508,103.6372,75.85,92,98,1.07,overcast clouds
220,La Asuncion,VE,11.0333,-63.8628,78.53,89,87,11.5,overcast clouds
221,Saint George,US,37.1041,-113.5841,44.94,47,1,4.0,clear sky
222,Flagstaff,US,35.1981,-111.6513,40.66,60,1,1.01,clear sky
223,Yerbogachen,RU,61.2767,108.0108,-36.26,98,95,3.47,overcast clouds
224,Natal,BR,-5.795,-35.2094,81.25,83,20,9.22,few clouds
225,Banda Aceh,ID,5.5577,95.3222,76.59,94,100,13.18,overcast clouds
226,Amuntai,ID,-2.4177,115.2494,79.39,90,100,1.36,overcast clouds
227,Fasa,IR,28.9383,53.6482,42.04,81,100,0.0,overcast clouds
228,Crossville,US,35.949,-85.0269,35.49,82,90,5.01,overcast clouds
229,Atasu,KZ,48.6814,71.6433,27.32,97,100,7.67,overcast clouds
230,Urdoma,RU,61.7533,48.5442,5.86,94,100,7.63,overcast clouds
231,Ngunguru,NZ,-35.6167,174.5,68.13,67,1,12.93,clear sky
232,Raudeberg,NO,61.9875,5.1352,38.86,92,94,1.99,overcast clouds
233,Waddan,LY,29.1614,16.139,45.23,62,0,4.79,clear sky
234,Pishin,PK,30.5803,66.9961,43.79,24,2,1.92,clear sky
235,Donskoye,RU,45.4552,41.9741,35.73,73,100,7.85,light rain
236,Abeche,TD,13.8292,20.8324,66.47,28,0,7.83,clear sky
237,Laguna,US,38.421,-121.4238,47.25,84,90,0.0,overcast clouds
238,Lavrentiya,RU,65.5833,-171.0,33.26,98,100,18.9,snow
239,Lufilufi,WS,-13.8745,-171.5986,83.98,73,30,16.64,light rain
240,Lakes Entrance,AU,-37.8811,147.981,78.57,40,0,7.72,clear sky
241,Mareeba,AU,-17.0,145.4333,92.44,44,100,4.99,overcast clouds
242,Nome,US,64.5011,-165.4064,34.16,93,90,21.85,light snow
243,Kachug,RU,53.9606,105.8817,-23.98,99,29,2.33,scattered clouds
244,Vao,NC,-22.6667,167.4833,77.23,86,100,13.58,overcast clouds
245,Bredasdorp,ZA,-34.5322,20.0403,66.27,82,100,12.66,overcast clouds
246,Dudinka,RU,69.4058,86.1778,-45.63,100,66,1.23,broken clouds
247,Playas,EC,-2.6333,-80.3833,72.5,89,100,6.8,light rain
248,Lata,PT,40.1629,-8.3327,59.07,63,100,10.04,overcast clouds
249,Cardonal,MX,20.6,-99.1333,54.18,90,100,3.98,overcast clouds
250,Zhangye,CN,38.9342,100.4517,25.02,35,0,9.17,clear sky
251,Ugoofaaru,MV,5.6667,73.0,82.04,73,66,14.92,broken clouds
252,Yulara,AU,-25.2406,130.9889,87.64,20,0,14.97,clear sky
253,Port Augusta,AU,-32.5,137.7667,76.71,40,0,11.74,clear sky
254,Wilkie,CA,52.4168,-108.7014,-0.11,84,71,14.43,broken clouds
255,Nhulunbuy,AU,-12.2333,136.7667,92.01,55,40,11.5,light rain
256,Izhevskoye,RU,54.5567,40.8703,26.42,93,97,9.93,overcast clouds
257,Kainantu,PG,-6.2887,145.8655,75.27,59,99,0.07,overcast clouds
258,Linda,US,39.1277,-121.5508,48.09,78,1,0.0,clear sky
259,Omsukchan,RU,62.5333,155.8,-39.91,98,32,3.47,scattered clouds
260,Gravdal,NO,68.1214,13.5031,37.69,58,73,15.57,broken clouds
261,Chuy,UY,-33.6971,-53.4616,67.1,84,0,11.25,clear sky
262,Praia,CV,14.9215,-23.5087,72.14,83,75,10.36,broken clouds
263,East London,ZA,-33.0153,27.9116,67.14,85,22,13.24,few clouds
264,Kudahuvadhoo,MV,2.6708,72.8944,81.16,80,100,15.21,overcast clouds
265,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,86,0,3.0,clear sky
266,Isetskoye,RU,56.4858,65.3226,22.03,95,100,8.14,light snow
267,Namtsy,RU,62.7161,129.6658,-43.49,95,100,4.5,overcast clouds
268,Owando,CG,-0.4819,15.8999,74.46,84,100,1.12,overcast clouds
269,Zhuhai,CN,22.2769,113.5678,64.11,63,40,10.36,scattered clouds
270,Port Blair,IN,11.6667,92.75,79.23,76,65,6.13,broken clouds
271,Olafsvik,IS,64.8945,-23.7142,41.41,80,100,2.35,overcast clouds
272,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.15,97,100,2.06,light rain
273,Camalu,MX,30.85,-116.0667,53.42,56,0,3.18,clear sky
274,Rawson,AR,-43.3002,-65.1023,58.15,71,4,24.16,clear sky
275,San Jeronimo,PE,-11.9472,-75.2829,48.96,87,100,2.59,overcast clouds
276,Sisimiut,GL,66.9395,-53.6735,36.16,64,100,22.57,overcast clouds
277,Seddon,AU,-37.8068,144.8916,78.03,44,0,5.01,clear sky
278,Georgetown,MY,5.4112,100.3354,80.53,78,20,3.44,few clouds
279,Bahia Blanca,AR,-38.7196,-62.2724,77.11,40,0,11.59,clear sky
280,Pecsvarad,HU,46.1603,18.4232,33.58,70,40,17.54,scattered clouds
281,Ulladulla,AU,-35.35,150.4667,79.88,46,6,7.96,clear sky
282,Perry,US,37.2506,-83.1999,36.73,86,15,4.68,few clouds
283,Tual,ID,-5.6667,132.75,84.2,69,89,1.81,overcast clouds
284,Pevek,RU,69.7008,170.3133,-12.23,96,100,21.83,light snow
285,Long Xuyen,VN,10.3833,105.4167,73.35,65,100,10.92,overcast clouds
286,Flinders,AU,-34.5833,150.8552,84.79,70,12,8.48,few clouds
287,Okoneshnikovo,RU,54.8377,75.0834,7.38,99,98,0.98,overcast clouds
288,Vanimo,PG,-2.6741,141.3028,84.4,68,93,6.82,moderate rain
289,Krasnoarmeysk,RU,51.0239,45.6969,32.07,96,100,21.16,light snow
290,Bilibino,RU,68.0546,166.4372,-25.98,100,100,7.09,light snow
291,Soe,ID,-9.8607,124.284,78.22,66,99,2.08,overcast clouds
292,Salalah,OM,17.0151,54.0924,71.69,73,0,6.91,clear sky
293,Berlevag,NO,70.8578,29.0864,28.89,62,100,19.98,light snow
294,North Bend,US,43.4065,-124.2243,53.08,100,90,6.91,mist
295,Cap-Aux-Meules,CA,47.3821,-61.8597,26.65,68,75,13.8,broken clouds
296,Ostrovnoy,RU,68.0531,39.5131,20.21,84,100,18.05,light snow
297,Ketchikan,US,55.3422,-131.6461,27.07,80,1,8.05,clear sky
298,Loreto,MX,22.2667,-101.9667,54.05,74,100,3.06,overcast clouds
299,Isagarh,IN,24.8333,77.8833,46.87,31,0,1.25,clear sky
300,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,25.32,few clouds
301,Khora,GR,37.05,21.7167,40.12,66,7,5.08,clear sky
302,Kargopol,RU,61.5071,38.9456,-2.51,93,100,10.54,overcast clouds
303,Prosotsani,GR,41.1833,23.9667,39.49,83,9,3.53,clear sky
304,Bauchi,NG,10.5,10.0,57.04,34,2,4.52,clear sky
305,Novikovo,RU,51.1537,37.8879,27.9,92,79,10.94,broken clouds
306,Los Algarrobos,PA,8.5,-82.4333,75.61,100,75,2.3,broken clouds
307,Sibolga,ID,1.7427,98.7792,79.38,78,100,1.39,overcast clouds
308,Buzmeyin,TM,38.0507,58.2056,44.33,70,0,4.61,clear sky
309,Kondinskoye,RU,59.6481,67.41,10.4,94,100,13.8,light snow
310,Sovetsk,RU,55.0839,21.8785,35.28,78,99,12.8,overcast clouds
311,Hami,CN,42.8,93.45,23.23,52,0,0.81,clear sky
