City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Saint Anthony,US,2021-12-19 04:42:42,45.0205,-93.218,11.93,82,1,0.0
124,Noumea,NC,2021-12-19 04:39:16,-22.2763,166.4572,82.38,99,60,16.06
125,Olinda,BR,2021-12-19 04:42:43,-8.0089,-34.8553,80.33,74,40,5.75
126,Baiyin,CN,2021-12-19 04:42:43,36.5583,104.2081,27.48,26,100,1.7
127,Roald,NO,2021-12-19 04:42:43,62.5833,6.1333,41.16,81,90,14.97
128,Constitucion,CL,2021-12-19 04:41:08,-35.3333,-72.4167,58.03,70,0,8.1
129,Tasiilaq,GL,2021-12-19 04:42:44,65.6145,-37.6368,33.96,96,100,14.16
130,Sao Filipe,CV,2021-12-19 04:42:45,14.8961,-24.4956,72.68,78,100,8.46
131,Samarai,PG,2021-12-19 04:42:45,-10.6167,150.6667,83.43,72,99,14.07
132,Yerbogachen,RU,2021-12-19 04:42:45,61.2767,108.0108,-38.0,96,61,4.03
133,Prijepolje,RS,2021-12-19 04:42:46,43.3719,19.6406,17.01,100,99,2.66
134,Leningradskiy,RU,2021-12-19 04:42:46,69.3833,178.4167,-14.08,96,100,12.37
135,Sept-Iles,CA,2021-12-19 04:40:01,50.2001,-66.3821,9.05,74,20,1.01
136,Pabna,BD,2021-12-19 04:42:47,24.0,89.25,71.58,28,0,10.22
137,Ewa Beach,US,2021-12-19 04:42:47,21.3156,-158.0072,78.75,71,1,18.01
138,Souillac,MU,2021-12-19 04:42:48,-20.5167,57.5167,82.36,69,20,3.44
139,Aberdeen,GB,2021-12-19 04:41:49,57.1437,-2.0981,37.89,100,90,1.14
140,Mumford,GH,2021-12-19 04:42:48,5.2618,-0.759,78.75,78,27,3.67
141,Mount Isa,AU,2021-12-19 04:42:48,-20.7333,139.5,103.77,24,40,6.91
142,Sisimiut,GL,2021-12-19 04:42:49,66.9395,-53.6735,30.36,64,100,9.33
143,Marsh Harbour,BS,2021-12-19 04:43:49,26.5412,-77.0636,77.09,78,100,18.16
144,Thompson,CA,2021-12-19 04:43:50,55.7435,-97.8558,-16.44,76,90,2.3
145,Kununurra,AU,2021-12-19 04:43:51,-15.7667,128.7333,100.38,37,20,5.75
146,Hermanus,ZA,2021-12-19 04:43:51,-34.4187,19.2345,64.8,84,32,3.96
147,Longyearbyen,SJ,2021-12-19 04:43:51,78.2186,15.6401,22.84,80,0,2.3
148,Minbu,MM,2021-12-19 04:43:52,20.1833,94.8833,79.9,44,47,6.78
149,Sobolevo,RU,2021-12-19 04:43:52,54.4299,31.8996,36.3,99,100,20.38
150,Bonthe,SL,2021-12-19 04:43:52,7.5264,-12.505,77.68,87,16,3.85
151,Bairiki,KI,2021-12-19 04:43:52,1.3292,172.9752,84.2,79,75,11.5
152,Nabire,ID,2021-12-19 04:41:41,-3.3667,135.4833,88.02,60,78,3.8
153,Klaksvik,FO,2021-12-19 04:43:53,62.2266,-6.589,43.72,77,100,8.66
154,Torbay,CA,2021-12-19 04:43:53,47.6666,-52.7314,26.28,74,75,27.63
155,Esmeraldas,BR,2021-12-19 04:42:25,-19.7625,-44.3139,70.66,96,74,6.24
156,Qaqortoq,GL,2021-12-19 04:43:54,60.7167,-46.0333,45.1,86,100,11.25
157,Kavieng,PG,2021-12-19 04:43:54,-2.5744,150.7967,82.38,78,100,12.37
158,Sitka,US,2021-12-19 04:43:54,57.0531,-135.33,28.29,86,1,5.75
159,Moreira Sales,BR,2021-12-19 04:43:55,-24.0622,-53.0069,74.5,72,60,9.84
160,Iralaya,HN,2021-12-19 04:43:55,15.0,-83.2333,77.52,87,100,10.47
161,Erzin,TR,2021-12-19 04:43:55,36.9559,36.2,48.92,86,100,8.01
162,Kodiak,US,2021-12-19 04:43:56,57.79,-152.4072,30.56,80,68,9.1
163,Lerwick,GB,2021-12-19 04:43:56,60.1545,-1.1494,46.4,82,100,14.03
164,Techiman,GH,2021-12-19 04:43:56,7.5862,-1.9414,67.24,28,4,0.67
165,Pevek,RU,2021-12-19 04:43:56,69.7008,170.3133,-14.78,92,100,2.73
166,Tuxpan,MX,2021-12-19 04:43:57,19.55,-103.4,59.76,84,74,2.46
167,Fondi,IT,2021-12-19 04:43:57,41.3541,13.4313,45.23,50,4,3.96
168,Tarabuco,BO,2021-12-19 04:43:57,-19.1667,-64.9167,49.82,71,97,3.33
169,Fallon,US,2021-12-19 04:43:58,39.4735,-118.7774,26.38,100,90,5.75
170,Nanortalik,GL,2021-12-19 04:43:58,60.1432,-45.2371,34.65,89,100,14.52
171,Hofn,IS,2021-12-19 04:43:58,64.2539,-15.2082,39.67,86,100,9.44
172,Geraldton,AU,2021-12-19 04:44:00,-28.7667,114.6,81.01,47,0,17.27
